50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 7 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1, 50 0 2 2 1
